TID,PhoneNo,Destination,Cell,Disconnect,StartTime,EndTime,Cell2
2418,98251021,,"E","Y",2006-02-12 02:43:26,2006-02-12 05:24:51,"E"
2419,98341160,,"A","Y",2006-04-09 10:49:06,2006-04-09 13:25:35,"A"
2420,98341021,,"E","Y",2005-06-28 15:25:51,2005-06-28 16:03:08,"B"
2421,98341220,,"F","Y",2006-11-27 15:17:35,2006-11-27 16:46:22,"A"
2422,98240220,90909090,"B","No",2006-11-18 13:37:09,2006-11-18 14:59:41,"D"
2423,99241120,91809091,"B","No",2005-05-29 11:12:31,2005-05-29 11:39:24,"E"
2424,99240260,,"F","Y",2005-04-11 03:13:57,2005-04-11 05:36:01,"E"
2425,99241120,,"A","Y",2006-03-08 21:37:22,2006-03-08 21:43:37,"B"
2426,99340161,91818181,"C","No",2005-07-20 04:43:22,2005-07-20 07:19:08,"B"
2427,98251020,,"C","Y",2005-12-29 18:18:38,2005-12-29 20:15:25,"E"
2428,99250221,90918190,"C","No",2006-08-07 14:07:28,2006-08-07 15:44:10,"F"
2429,99340260,90918180,"B","No",2006-03-14 18:54:27,2006-03-14 20:09:02,"E"
2430,98240021,91819090,"E","No",2005-12-02 03:07:37,2005-12-02 03:14:25,"C"
2431,98251020,,"C","Y",2005-12-04 17:44:35,2005-12-04 18:25:15,"B"
2432,98251220,,"C","Y",2005-07-09 07:03:19,2005-07-09 08:52:42,"C"
2433,99240261,90908170,"D","No",2005-08-11 04:07:45,2005-08-11 05:48:22,"D"
2434,98350320,91918181,"D","No",2006-07-13 20:34:26,2006-07-13 21:42:11,"A"
2435,99250261,91817190,"C","No",2006-05-09 06:43:13,2006-05-09 09:16:34,"E"
2436,99351021,,"E","Y",2006-05-19 01:53:49,2006-05-19 03:45:36,"C"
2437,98350260,90808080,"C","No",2005-06-02 05:17:17,2005-06-02 07:40:28,"B"
2438,99250120,,"E","Y",2005-10-02 20:03:31,2005-10-02 21:20:33,"F"
2439,99351320,91917191,"B","No",2005-07-28 11:24:55,2005-07-28 12:27:11,"D"
2440,99341021,90918090,"A","No",2005-10-13 21:58:26,2005-10-14 00:07:46,"C"
2442,99251060,,"A","Y",2005-09-03 21:58:56,2005-09-03 22:52:46,"F"
2443,99341160,,"F","Y",2006-08-26 21:22:02,2006-08-26 23:43:17,"F"
2444,98250121,,"A","Y",2006-12-31 04:55:22,2006-12-31 06:04:06,"D"
2445,98241021,90819190,"A","No",2006-11-14 22:23:16,2006-11-14 23:47:45,"B"
2446,98250020,90918090,"C","No",2006-12-18 12:11:56,2006-12-18 13:19:42,"F"
2447,98351020,91818070,"C","No",2005-08-05 02:09:04,2005-08-05 03:00:39,"E"
2448,99240161,91809181,"E","No",2006-04-13 03:12:41,2006-04-13 03:23:32,"E"
2449,99340220,,"F","Y",2005-04-09 02:03:51,2005-04-09 03:27:22,"F"
2450,98240120,,"C","Y",2006-06-28 00:14:08,2006-06-28 01:43:21,"A"
2451,98241021,,"B","Y",2006-02-14 12:35:58,2006-02-14 13:03:48,"D"
2452,99240360,,"F","Y",2005-07-14 01:53:01,2005-07-14 04:16:43,"A"
2453,99251021,,"B","Y",2005-02-03 04:57:12,2005-02-03 06:56:01,"F"
2454,98241220,91908180,"E","No",2005-04-25 02:24:52,2005-04-25 04:53:25,"C"
2456,99251020,,"B","Y",2006-01-17 07:17:06,2006-01-17 09:50:29,"E"
2457,98351161,90817190,"C","No",2005-12-21 10:16:14,2005-12-21 11:10:49,"A"
2458,98251221,90808070,"C","No",2006-09-07 01:46:15,2006-09-07 04:05:27,"F"
2459,99251120,,"B","Y",2005-12-05 16:02:26,2005-12-05 17:10:24,"A"
2460,99240120,,"E","Y",2006-03-30 00:33:51,2006-03-30 02:05:34,"E"
2461,99351320,,"F","Y",2005-11-25 20:39:45,2005-11-25 21:30:49,"C"
2462,98250021,,"C","Y",2005-05-01 02:45:55,2005-05-01 05:06:02,"A"
2463,98251060,,"E","Y",2006-11-15 18:23:58,2006-11-15 19:10:01,"A"
2464,98250120,,"D","Y",2005-09-15 09:46:04,2005-09-15 11:34:22,"D"
2465,98240320,,"D","Y",2006-09-22 18:08:26,2006-09-22 19:29:51,"C"
2466,99341220,91807170,"C","No",2006-09-04 10:08:16,2006-09-04 11:26:18,"D"
2467,98250320,,"C","Y",2005-12-30 20:07:10,2005-12-30 22:30:38,"F"
2468,98241361,,"B","Y",2005-03-15 11:37:31,2005-03-15 13:33:46,"A"
2469,98350120,91807071,"D","No",2005-05-11 18:33:42,2005-05-11 19:30:34,"A"
2470,98351320,91918071,"C","No",2006-08-14 02:07:19,2006-08-14 04:10:37,"B"
2471,99250161,90819091,"B","No",2006-02-27 09:33:41,2006-02-27 09:52:00,"D"
2472,99340220,90818181,"B","No",2005-10-13 15:50:39,2005-10-13 17:13:32,"C"
2473,99250021,90917190,"F","No",2006-02-19 01:15:31,2006-02-19 01:21:12,"A"
2474,99241260,90818170,"D","No",2006-12-25 03:15:48,2006-12-25 03:34:02,"A"
2475,99340221,,"B","Y",2005-10-19 22:26:51,2005-10-20 00:52:22,"E"
2476,99250260,90817081,"F","No",2006-08-25 00:58:26,2006-08-25 03:05:44,"F"
2477,99340120,,"C","Y",2006-01-07 06:40:01,2006-01-07 07:19:02,"A"
2479,98250161,,"A","Y",2006-07-10 14:54:39,2006-07-10 16:58:05,"A"
2480,98350260,,"C","Y",2006-04-21 03:48:53,2006-04-21 04:20:23,"F"
2481,98241361,,"B","Y",2006-08-02 22:25:18,2006-08-02 23:24:09,"E"
2482,98340061,91818070,"B","No",2006-05-23 08:33:05,2006-05-23 09:25:06,"A"
2483,98350020,,"F","Y",2005-08-14 18:01:47,2005-08-14 20:34:20,"E"
2484,98240021,,"B","Y",2006-04-16 17:34:41,2006-04-16 17:54:48,"C"
2485,99341060,,"A","Y",2005-09-28 16:18:14,2005-09-28 18:02:53,"B"
2486,98350060,,"B","Y",2006-06-08 01:11:56,2006-06-08 02:06:37,"A"
2487,99241021,90908171,"D","No",2005-05-02 08:38:26,2005-05-02 09:27:22,"B"
2488,99250160,,"E","Y",2006-05-09 12:24:36,2006-05-09 14:49:48,"D"
2489,99251361,91918191,"B","No",2005-04-16 05:55:33,2005-04-16 08:08:35,"B"
2490,98251360,90809081,"B","No",2005-08-24 09:31:33,2005-08-24 12:14:11,"B"
2491,98340361,91817191,"B","No",2006-06-23 22:35:57,2006-06-23 23:18:26,"E"
2492,99241320,,"A","Y",2005-06-05 16:28:51,2005-06-05 18:12:51,"D"
2493,98350260,90818181,"C","No",2006-10-14 11:25:02,2006-10-14 12:23:51,"E"
2494,98351321,91819191,"D","No",2006-10-07 17:08:47,2006-10-07 17:19:18,"E"
2495,98350220,90819081,"B","No",2005-06-10 03:15:43,2005-06-10 05:33:32,"A"
2496,99241260,,"C","Y",2005-06-03 07:11:53,2005-06-03 07:28:12,"F"
2497,98241320,91907171,"A","No",2005-03-18 14:11:34,2005-03-18 16:56:58,"B"
2498,98251061,,"C","Y",2005-06-26 12:35:25,2005-06-26 13:47:53,"D"
2499,99240160,91908171,"E","No",2006-07-16 15:57:24,2006-07-16 17:02:57,"A"
2500,99340361,,"C","Y",2005-11-08 11:39:21,2005-11-08 13:59:45,"D"
2501,99240320,,"C","Y",2006-11-23 01:19:48,2006-11-23 03:07:58,"E"
2502,98350260,91918081,"B","No",2006-10-21 11:58:35,2006-10-21 13:44:20,"B"
2503,98240221,90808180,"D","No",2006-12-03 03:31:01,2006-12-03 04:10:00,"C"
2504,99250321,,"C","Y",2006-07-22 05:43:06,2006-07-22 08:13:12,"E"
2505,98350321,91807171,"A","No",2005-01-26 08:29:35,2005-01-26 09:53:09,"C"
2506,99351360,91917191,"B","No",2005-02-14 06:50:18,2005-02-14 06:53:19,"F"
2507,99240361,,"D","Y",2005-03-25 16:36:45,2005-03-25 17:55:25,"B"
2508,98351320,,"D","Y",2005-09-03 18:54:46,2005-09-03 19:57:59,"C"
2509,98250220,,"A","Y",2005-08-14 17:19:01,2005-08-14 17:38:42,"B"
2510,99351061,,"C","Y",2006-09-09 11:28:32,2006-09-09 13:18:21,"B"
2511,99240361,90908081,"A","No",2005-04-01 02:22:26,2005-04-01 03:41:25,"F"
2513,98340020,,"C","Y",2005-08-01 20:47:26,2005-08-01 21:03:42,"A"
2514,99251120,90909180,"B","No",2006-04-12 14:18:29,2006-04-12 15:34:55,"A"
2515,99251221,90917091,"E","No",2006-12-16 01:39:45,2006-12-16 04:25:45,"A"
2516,98240020,91818071,"C","No",2005-02-24 13:02:46,2005-02-24 13:39:38,"E"
2517,99251120,91917081,"F","No",2005-01-01 20:55:00,2005-01-01 23:17:45,"E"
2518,98340061,,"F","Y",2006-06-02 12:09:12,2006-06-02 14:36:11,"E"
2519,98341161,,"B","Y",2006-11-13 12:35:01,2006-11-13 14:59:08,"B"
2522,99251220,90918181,"D","No",2005-11-14 13:18:52,2005-11-14 14:22:12,"E"
2523,99251221,,"B","Y",2006-02-13 18:07:42,2006-02-13 20:36:46,"D"
2524,99241361,91818180,"B","No",2006-12-27 14:13:27,2006-12-27 16:18:56,"F"
2525,99250260,,"C","Y",2006-09-26 14:18:58,2006-09-26 14:52:27,"D"
2526,98340120,90809091,"C","No",2005-03-15 00:10:23,2005-03-15 02:35:31,"B"
2527,98250321,91819081,"B","No",2005-08-09 03:20:35,2005-08-09 05:44:31,"A"
2528,99341121,,"D","Y",2006-10-17 11:49:57,2006-10-17 13:42:46,"E"
2529,98250261,,"F","Y",2005-03-05 15:13:39,2005-03-05 16:44:16,"B"
2530,99340120,,"B","Y",2006-11-10 22:47:51,2006-11-10 22:55:09,"B"
2531,99350061,,"D","Y",2005-04-29 14:19:08,2005-04-29 16:55:14,"C"
2532,99340220,,"C","Y",2006-06-23 09:22:02,2006-06-23 09:33:10,"D"
2533,99240320,90907171,"C","No",2006-04-02 07:21:50,2006-04-02 09:48:13,"A"
2534,99351161,91809171,"C","No",2005-10-03 16:54:51,2005-10-03 19:33:03,"A"
2535,99240121,91919191,"B","No",2006-04-20 05:46:56,2006-04-20 06:34:55,"F"
2536,99340120,90909080,"B","No",2006-06-13 11:37:50,2006-06-13 12:28:45,"C"
2537,99251321,91908181,"D","No",2005-01-11 18:17:45,2005-01-11 20:24:58,"B"
2538,98351021,,"A","Y",2006-07-29 04:37:00,2006-07-29 04:57:37,"A"
2539,98341120,,"F","Y",2006-05-03 14:13:33,2006-05-03 14:24:05,"F"
2540,99250120,,"A","Y",2006-07-13 10:12:51,2006-07-13 12:26:36,"B"
2541,99251260,,"D","Y",2006-02-21 10:35:20,2006-02-21 13:00:27,"A"
2542,99351260,,"C","Y",2005-07-27 03:32:34,2005-07-27 05:01:39,"D"
2543,98251360,,"F","Y",2006-10-06 16:00:56,2006-10-06 16:41:30,"D"
2544,99351221,90919170,"B","No",2005-11-03 17:53:56,2005-11-03 17:54:12,"D"
2545,99340120,,"D","Y",2005-06-22 03:16:46,2005-06-22 05:09:14,"A"
2546,99241120,,"B","Y",2006-06-21 18:40:58,2006-06-21 20:19:53,"A"
2547,98340220,91817171,"B","No",2005-07-20 04:04:31,2005-07-20 06:25:12,"F"
2548,98341360,,"F","Y",2006-01-04 13:49:43,2006-01-04 15:40:25,"D"
2549,99351361,91909191,"B","No",2005-01-02 02:21:41,2005-01-02 04:16:05,"B"
2550,98341220,91817091,"C","No",2005-11-02 13:38:54,2005-11-02 13:54:09,"D"
2551,99341060,90807171,"C","No",2005-08-23 20:01:13,2005-08-23 22:39:28,"F"
2552,99251020,90808171,"B","No",2005-10-24 11:24:49,2005-10-24 13:00:14,"B"
2553,99351120,90907171,"B","No",2006-11-10 19:47:36,2006-11-10 22:08:43,"A"
2554,99340060,90919171,"A","No",2005-12-01 21:03:48,2005-12-01 23:40:45,"C"
2555,98351320,91818091,"D","No",2005-08-16 22:37:12,2005-08-16 23:36:52,"A"
2556,99341220,,"E","Y",2006-10-30 11:24:17,2006-10-30 13:17:25,"F"
2557,99341260,91807071,"E","No",2006-12-04 00:38:14,2006-12-04 01:44:25,"E"
2558,99340060,,"F","Y",2006-05-26 20:47:34,2006-05-26 22:13:37,"C"
2559,99350020,91907180,"D","No",2005-09-04 20:50:26,2005-09-04 21:37:40,"B"
2560,99251060,90919071,"F","No",2005-01-23 00:47:11,2005-01-23 02:17:42,"C"
2561,99250220,90818190,"C","No",2005-03-10 17:22:24,2005-03-10 19:16:29,"E"
2562,99340020,91819091,"C","No",2006-08-18 00:19:04,2006-08-18 02:14:02,"D"
2563,99341021,,"C","Y",2005-05-27 17:25:21,2005-05-27 19:27:19,"A"
2564,98341021,,"C","Y",2005-03-15 02:46:55,2005-03-15 05:15:50,"F"
2565,98341260,,"C","Y",2005-07-30 20:36:19,2005-07-30 22:27:29,"A"
2566,99250360,91809080,"B","No",2006-10-12 14:21:31,2006-10-12 16:05:51,"B"
2567,98250360,,"A","Y",2006-06-21 17:19:27,2006-06-21 19:22:17,"C"
2568,99341321,,"A","Y",2005-11-04 16:49:55,2005-11-04 17:42:23,"C"
2569,98250261,,"B","Y",2005-09-11 02:48:29,2005-09-11 04:06:07,"D"
2570,98350221,,"B","Y",2005-10-11 11:10:29,2005-10-11 11:41:12,"E"
2571,98250221,91917070,"A","No",2005-06-03 18:03:32,2005-06-03 18:15:15,"F"
2572,99240160,91818071,"B","No",2005-04-04 20:26:20,2005-04-04 21:35:19,"A"
2573,98351360,90918171,"B","No",2005-05-02 04:04:40,2005-05-02 04:22:01,"D"
2574,99351361,91908190,"D","No",2005-07-21 06:34:28,2005-07-21 07:15:53,"C"
2575,99240060,90808180,"C","No",2006-10-27 01:06:38,2006-10-27 02:19:48,"D"
2576,98251220,90818180,"D","No",2005-10-28 15:42:21,2005-10-28 17:50:37,"B"
2578,98340160,91917190,"C","No",2006-02-11 17:44:20,2006-02-11 18:19:29,"A"
2579,98251321,,"D","Y",2006-06-05 21:42:52,2006-06-06 00:23:39,"A"
2580,99240221,,"C","Y",2005-12-25 21:32:36,2005-12-25 22:48:32,"D"
2581,98351320,,"B","Y",2005-07-06 07:45:08,2005-07-06 09:08:54,"A"
2582,98251021,91917091,"B","No",2006-09-07 15:38:05,2006-09-07 16:43:06,"A"
2583,98351260,91818091,"B","No",2006-06-03 17:42:13,2006-06-03 19:42:16,"B"
2584,99250161,,"E","Y",2005-11-20 19:30:38,2005-11-20 19:33:38,"E"
2585,99340160,,"A","Y",2005-01-15 15:08:11,2005-01-15 17:39:20,"B"
2586,98350161,,"B","Y",2006-05-08 16:53:46,2006-05-08 17:54:00,"F"
2587,99240061,,"E","Y",2005-12-14 17:36:47,2005-12-14 17:54:43,"A"
2588,98340060,,"B","Y",2006-12-03 12:55:24,2006-12-03 14:37:16,"F"
2589,98351160,90908070,"C","No",2006-10-25 01:45:15,2006-10-25 03:16:00,"D"
2590,99251221,90809171,"B","No",2006-03-04 04:39:17,2006-03-04 04:54:35,"F"
2591,98340260,,"B","Y",2006-02-20 03:03:40,2006-02-20 05:02:32,"D"
2592,99241361,,"A","Y",2006-07-01 16:44:37,2006-07-01 17:24:40,"C"
2593,99240021,90809171,"E","No",2005-01-05 18:28:24,2005-01-05 21:02:47,"C"
2594,99241161,,"E","Y",2006-05-30 12:39:16,2006-05-30 13:42:41,"F"
2595,99241061,,"C","Y",2006-03-06 02:32:08,2006-03-06 04:29:05,"A"
2596,98251261,,"D","Y",2006-02-21 13:55:22,2006-02-21 14:25:18,"F"
2597,99350361,90818190,"C","No",2005-01-06 17:18:48,2005-01-06 17:29:47,"E"
2598,98250360,91917170,"C","No",2005-10-27 21:00:11,2005-10-27 22:34:23,"C"
2599,99241360,91908180,"D","No",2005-06-17 21:07:33,2005-06-17 21:14:12,"E"
2600,99340221,90917180,"C","No",2006-10-05 20:27:29,2006-10-05 21:09:05,"C"
2601,98341060,,"F","Y",2006-05-08 21:13:10,2006-05-08 21:24:58,"C"
2602,99241120,,"D","Y",2005-08-29 01:48:24,2005-08-29 04:32:02,"C"
2603,99340160,90807081,"B","No",2005-07-12 18:42:15,2005-07-12 20:25:10,"E"
2604,98341320,91919181,"F","No",2005-09-25 02:48:35,2005-09-25 05:28:22,"F"
2605,98340260,,"C","Y",2005-09-20 07:10:06,2005-09-20 08:20:19,"B"
2606,98341220,91909080,"B","No",2005-10-13 08:21:27,2005-10-13 09:01:31,"D"
2607,99340060,,"B","Y",2006-03-22 18:00:45,2006-03-22 18:34:02,"F"
2608,98251120,,"E","Y",2005-03-12 10:01:39,2005-03-12 11:39:41,"F"
2609,98351320,,"B","Y",2006-05-31 00:23:15,2006-05-31 02:53:23,"F"
2610,98351021,91919091,"C","No",2005-07-08 04:15:18,2005-07-08 05:13:58,"C"
2611,99240120,,"C","Y",2006-07-20 11:01:39,2006-07-20 13:22:50,"A"
2612,98240121,91909070,"E","No",2006-11-08 14:58:00,2006-11-08 17:39:19,"F"
2613,98251220,91807171,"F","No",2006-05-15 21:15:00,2006-05-15 22:51:56,"C"
2614,99250021,,"C","Y",2005-04-18 10:21:56,2005-04-18 11:27:46,"F"
2615,99251161,,"B","Y",2006-04-13 19:08:26,2006-04-13 20:30:42,"B"
2616,98350121,,"D","Y",2006-12-20 21:24:55,2006-12-20 22:05:36,"C"
2617,99251360,,"B","Y",2005-10-22 18:41:18,2005-10-22 18:51:17,"A"
2618,99251120,,"C","Y",2005-11-23 13:24:46,2005-11-23 13:38:25,"C"
2619,99351260,90809091,"C","No",2005-02-11 12:33:13,2005-02-11 13:05:49,"B"
2620,98251061,,"A","Y",2006-08-05 18:11:24,2006-08-05 20:10:26,"D"
2621,99251360,91818090,"F","No",2005-04-24 18:44:13,2005-04-24 20:30:15,"B"
2622,99251121,91917180,"F","No",2006-05-04 17:21:05,2006-05-04 19:59:32,"C"
2623,98350020,,"D","Y",2006-03-09 08:41:11,2006-03-09 10:42:20,"B"
2624,99350021,91809190,"A","No",2006-04-02 14:51:14,2006-04-02 15:26:57,"C"
2625,99240120,,"B","Y",2006-12-25 10:50:12,2006-12-25 11:28:04,"B"
2626,99241160,,"B","Y",2006-06-21 22:52:34,2006-06-22 01:28:53,"B"
2627,98241120,,"B","Y",2005-06-27 06:53:17,2005-06-27 09:05:13,"C"
2628,99240320,91908170,"C","No",2006-09-16 18:57:32,2006-09-16 20:40:59,"A"
2629,98250161,91809180,"E","No",2006-10-27 16:31:25,2006-10-27 17:44:39,"A"
2630,98340060,,"B","Y",2005-12-27 01:46:10,2005-12-27 02:19:14,"C"
2631,99351060,,"F","Y",2006-01-25 08:14:03,2006-01-25 09:39:02,"F"
2632,98240060,,"E","Y",2006-12-23 21:48:20,2006-12-23 23:35:09,"F"
2633,98251220,,"B","Y",2005-09-18 07:44:56,2005-09-18 09:34:20,"C"
2634,98250061,91917180,"B","No",2006-09-17 13:24:46,2006-09-17 15:45:09,"F"
2635,99350121,,"E","Y",2005-01-02 09:15:32,2005-01-02 10:11:54,"D"
2636,98340361,,"C","Y",2006-05-01 06:25:37,2006-05-01 07:57:16,"B"
2637,99250321,,"C","Y",2005-03-31 08:54:04,2005-03-31 10:40:22,"B"
2638,98241060,,"A","Y",2005-11-27 03:26:08,2005-11-27 04:37:30,"E"
2639,98250321,,"B","Y",2006-10-10 17:16:13,2006-10-10 18:38:22,"B"
2640,99350361,,"C","Y",2006-12-31 15:26:34,2006-12-31 17:23:33,"D"
2641,98250020,90909080,"F","No",2005-05-12 08:20:35,2005-05-12 08:30:42,"F"
2642,98240121,91917080,"D","No",2005-02-07 18:25:39,2005-02-07 20:09:10,"B"
2643,99251260,91918081,"B","No",2005-11-24 07:39:12,2005-11-24 09:24:44,"F"
2644,98241321,,"D","Y",2006-11-22 11:05:29,2006-11-22 12:52:31,"D"
2645,99251260,,"F","Y",2006-03-03 05:58:52,2006-03-03 07:17:30,"E"
2646,98350321,,"D","Y",2005-09-07 20:50:55,2005-09-07 23:14:07,"F"
2647,98240061,90909090,"C","No",2006-07-23 03:38:44,2006-07-23 04:45:58,"F"
2648,98350320,,"F","Y",2006-05-22 14:08:43,2006-05-22 15:23:31,"A"
2649,99351021,,"B","Y",2005-12-11 15:50:11,2005-12-11 16:37:51,"C"
2650,98240120,,"F","Y",2006-02-19 02:57:03,2006-02-19 04:00:34,"B"
2651,99241220,,"C","Y",2006-01-06 10:04:35,2006-01-06 12:19:39,"B"
2652,99350261,90819180,"C","No",2006-09-02 09:48:19,2006-09-02 11:30:47,"F"
2653,99340261,91819090,"A","No",2006-05-20 05:42:30,2006-05-20 05:55:47,"A"
2654,99241121,,"A","Y",2005-03-28 11:17:47,2005-03-28 12:28:56,"D"
2655,98251060,91817180,"A","No",2006-02-17 07:40:13,2006-02-17 07:49:12,"B"
2656,99241360,90818171,"F","No",2006-12-06 08:46:44,2006-12-06 09:18:05,"B"
2657,98350261,,"B","Y",2006-04-20 05:34:41,2006-04-20 06:39:56,"E"
2658,98350360,90918171,"D","No",2006-10-09 15:26:18,2006-10-09 17:15:21,"B"
2659,99241261,,"F","Y",2006-10-16 21:08:32,2006-10-16 23:48:42,"C"
2660,99250360,91808170,"C","No",2005-05-30 06:41:30,2005-05-30 07:11:43,"C"
2661,99341360,91907171,"D","No",2006-01-07 17:08:17,2006-01-07 17:48:15,"E"
2662,98250361,90907080,"D","No",2005-06-01 14:32:29,2005-06-01 16:33:37,"F"
2663,99241321,,"B","Y",2006-03-26 09:21:20,2006-03-26 10:03:54,"E"
2664,98341321,,"C","Y",2005-07-23 07:07:14,2005-07-23 08:14:43,"F"
2665,98340161,,"F","Y",2005-09-17 10:15:11,2005-09-17 10:40:12,"E"
2666,99250060,90918191,"F","No",2005-01-12 07:32:23,2005-01-12 07:37:49,"B"
2667,99250021,,"C","Y",2005-06-02 07:57:41,2005-06-02 10:17:56,"F"
2668,98250321,,"E","Y",2006-09-10 13:04:04,2006-09-10 13:25:26,"E"
2669,98340360,90807180,"B","No",2005-11-09 19:11:41,2005-11-09 19:51:21,"A"
2670,98341060,90909070,"B","No",2005-06-09 18:47:24,2005-06-09 20:17:19,"E"
2671,98340360,90819090,"E","No",2005-02-28 19:45:17,2005-02-28 20:12:28,"A"
2672,98240320,,"D","Y",2006-06-09 12:40:43,2006-06-09 14:08:59,"D"
2673,98240221,,"B","Y",2006-12-05 07:56:29,2006-12-05 10:35:15,"D"
2674,98251361,,"C","Y",2005-03-31 14:25:46,2005-03-31 15:44:13,"E"
2675,99341060,,"D","Y",2006-06-04 22:48:50,2006-06-05 00:02:20,"E"
2676,98241361,,"B","Y",2005-12-17 16:37:45,2005-12-17 18:46:14,"B"
2677,99241320,,"F","Y",2006-06-13 01:56:21,2006-06-13 04:08:22,"F"
2678,99341021,,"D","Y",2005-03-29 19:02:24,2005-03-29 20:52:01,"C"
2679,99240160,91907091,"B","No",2006-02-16 09:09:17,2006-02-16 10:32:10,"D"
2680,98251160,90917071,"D","No",2006-05-11 05:49:41,2006-05-11 07:05:38,"B"
2681,99250220,,"C","Y",2005-01-31 05:23:03,2005-01-31 07:12:31,"F"
2682,99341320,91918190,"B","No",2005-06-19 11:34:30,2005-06-19 12:04:49,"D"
2683,98240220,,"B","Y",2006-03-06 15:16:37,2006-03-06 16:21:38,"E"
2684,98241221,90907080,"C","No",2006-05-01 15:07:01,2006-05-01 17:22:51,"D"
2685,98250121,90917090,"F","No",2006-03-31 18:29:48,2006-03-31 18:34:16,"F"
2687,98351360,,"B","Y",2005-09-13 12:35:38,2005-09-13 13:38:58,"A"
2688,99340261,90918081,"D","No",2005-12-12 15:32:18,2005-12-12 17:57:49,"D"
2689,99351020,,"B","Y",2005-10-13 19:50:26,2005-10-13 21:35:43,"D"
2690,98241220,,"E","Y",2006-02-17 02:48:49,2006-02-17 03:52:47,"B"
2691,98240320,90919071,"B","No",2006-03-22 19:17:48,2006-03-22 21:52:27,"A"
2693,99351260,,"C","Y",2006-07-14 05:10:32,2006-07-14 07:25:57,"C"
2694,99341360,90909091,"A","No",2006-11-23 22:55:21,2006-11-24 00:17:09,"F"
2695,98350160,91917091,"C","No",2005-11-05 02:11:48,2005-11-05 03:24:59,"E"
2696,98351020,91918180,"C","No",2006-04-24 16:04:04,2006-04-24 17:17:29,"D"
2697,99250121,,"C","Y",2005-02-21 03:33:26,2005-02-21 03:53:54,"E"
2698,99251320,91808171,"F","No",2006-11-26 19:13:47,2006-11-26 21:57:49,"D"
2699,98251060,,"D","Y",2005-11-06 19:52:13,2005-11-06 20:09:23,"E"
2700,99341321,90907170,"C","No",2006-04-08 11:56:51,2006-04-08 14:17:08,"C"
2701,99241360,,"C","Y",2006-01-20 09:30:34,2006-01-20 12:09:04,"B"
2702,99240221,,"D","Y",2005-03-19 18:56:08,2005-03-19 20:29:55,"D"
2703,98351321,,"E","Y",2005-07-03 12:49:18,2005-07-03 13:26:40,"D"
2704,99340061,,"B","Y",2005-05-23 13:44:26,2005-05-23 14:43:09,"E"
2705,98250021,,"E","Y",2006-06-13 03:58:54,2006-06-13 06:22:07,"A"
2706,99250120,,"F","Y",2006-09-24 08:15:29,2006-09-24 10:02:21,"B"
2707,99340121,91819080,"A","No",2006-12-17 04:32:26,2006-12-17 04:43:19,"B"
2708,98350361,,"C","Y",2006-01-05 01:38:19,2006-01-05 02:14:20,"D"
2709,98350060,90919190,"F","No",2005-10-29 02:53:02,2005-10-29 04:18:01,"B"
2710,98250021,90819071,"F","No",2006-02-03 22:32:09,2006-02-04 00:45:25,"B"
2711,98341360,,"E","Y",2006-10-24 02:54:34,2006-10-24 04:25:18,"C"
2712,98340120,91807170,"D","No",2005-02-28 07:37:14,2005-02-28 09:02:22,"E"
2713,98340160,91907071,"F","No",2006-04-25 04:18:45,2006-04-25 06:45:50,"D"
2714,98250061,90817170,"D","No",2005-06-20 11:43:54,2005-06-20 11:49:05,"A"
2715,99240161,90809180,"B","No",2005-10-24 16:11:01,2005-10-24 18:46:27,"D"
2716,99340120,91818090,"A","No",2005-09-19 01:50:35,2005-09-19 02:42:41,"F"
2717,98241321,91908090,"E","No",2005-12-11 13:14:36,2005-12-11 13:19:10,"D"
2718,98250321,90919180,"C","No",2005-09-02 02:37:47,2005-09-02 05:13:55,"C"
2719,99251261,90908191,"B","No",2006-12-27 20:55:48,2006-12-27 21:03:25,"C"
2720,99340360,,"F","Y",2005-02-12 15:05:50,2005-02-12 17:07:28,"A"
2721,98241321,90818181,"F","No",2006-08-30 11:15:37,2006-08-30 12:09:30,"E"
2722,99341360,,"C","Y",2006-10-27 17:34:02,2006-10-27 19:45:57,"D"
2723,99241020,91918071,"F","No",2006-09-30 19:19:05,2006-09-30 20:37:20,"F"
2724,98250061,,"E","Y",2006-03-22 02:09:45,2006-03-22 03:24:41,"D"
2725,99340321,91907180,"A","No",2006-08-06 14:45:19,2006-08-06 16:59:13,"B"
2726,99350221,90808070,"F","No",2005-12-18 07:10:03,2005-12-18 07:24:32,"F"
2727,99240360,91907180,"A","No",2006-05-29 04:41:54,2006-05-29 05:39:45,"F"
2728,98241220,90807070,"D","No",2006-07-25 01:31:44,2006-07-25 03:34:09,"C"
2729,98240020,91809170,"D","No",2005-10-06 03:45:33,2005-10-06 05:49:46,"C"
2730,98250220,,"C","Y",2006-09-02 09:02:52,2006-09-02 09:37:08,"D"
2731,99340160,91808070,"D","No",2005-07-27 16:07:47,2005-07-27 18:34:19,"C"
2732,99240121,,"B","Y",2006-03-15 02:36:01,2006-03-15 05:19:03,"F"
2733,98250160,90818091,"D","No",2006-04-04 16:09:45,2006-04-04 16:58:07,"D"
2734,98350121,90817071,"F","No",2005-07-10 00:24:12,2005-07-10 02:32:42,"C"
2735,99241121,,"F","Y",2005-10-10 04:35:17,2005-10-10 06:14:05,"C"
2736,99250160,90907190,"A","No",2005-01-12 22:08:06,2005-01-13 00:18:31,"B"
